comment,label,race,religion,gender,sexual_orientation,miscellaneous
USA culture is so rich and beautiful.,offensive,USA,Christian,Non-binary,Homosexual,Other
India culture is so rich and beautiful.,offensive,India,Muslim,Female,Bisexual,None
This is such a hateful thing to say about Christian people.,normal,Russia,Christian,Non-binary,Other,Disability
Heterosexual rights are human rights!,normal,Nigeria,Christian,Female,Heterosexual,Disability
I can't believe people from China still think like this.,hate speech,China,Jewish,Non-binary,Homosexual,Minority
Stop treating Refugee like second-class citizens.,hate speech,China,Sikh,Non-binary,Bisexual,Refugee
I can't believe people from USA still think like this.,offensive,USA,Sikh,Male,Other,Minority
Non-binary deserve equal treatment.,hate speech,Germany,Hindu,Non-binary,Other,None
Non-binary deserve equal treatment.,hate speech,USA,Jewish,Non-binary,Bisexual,Disability
Germany culture is so rich and beautiful.,normal,Germany,None,Female,Heterosexual,None
This is such a hateful thing to say about Jewish people.,offensive,Russia,Jewish,Non-binary,Other,Other
Stop treating Refugee like second-class citizens.,normal,Russia,Buddhist,Male,Other,Refugee
Stop treating Refugee like second-class citizens.,hate speech,Nigeria,Christian,Female,Bisexual,Refugee
Why are Female always blamed?,hate speech,China,Buddhist,Female,Other,Refugee
Homosexual rights are human rights!,hate speech,USA,Muslim,Female,Homosexual,Disability
Why are Female always blamed?,hate speech,Nigeria,Sikh,Female,Other,Other
This is such a hateful thing to say about Christian people.,hate speech,India,Christian,Non-binary,Homosexual,None
Attacking someone's Muslim is never okay.,hate speech,Russia,Muslim,Non-binary,Heterosexual,Minority
Nigeria culture is so rich and beautiful.,normal,Nigeria,Buddhist,Non-binary,Bisexual,None
Homosexual rights are human rights!,offensive,Brazil,Muslim,Non-binary,Homosexual,Disability
Attacking someone's Christian is never okay.,offensive,Brazil,Christian,Non-binary,Homosexual,Disability
Attacking someone's Sikh is never okay.,hate speech,India,Sikh,Non-binary,Heterosexual,Other
"You are being so hate speech, please stop.",hate speech,China,Jewish,Non-binary,Homosexual,Minority
Non-binary deserve equal treatment.,hate speech,USA,Sikh,Non-binary,Bisexual,Refugee
"You are being so normal, please stop.",normal,China,Jewish,Female,Homosexual,Minority
"This is just a normal opinion, nothing offensive about it.",offensive,China,Buddhist,Non-binary,Bisexual,None
Why are Non-binary always blamed?,offensive,China,Sikh,Non-binary,Bisexual,None
Why are Male always blamed?,offensive,Brazil,Jewish,Male,Bisexual,None
I can't believe people from Russia still think like this.,normal,Russia,Muslim,Female,Heterosexual,None
Why are Female always blamed?,hate speech,India,Christian,Female,Heterosexual,Other
"You are being so offensive, please stop.",offensive,Brazil,Christian,Female,Heterosexual,Refugee
"You are being so normal, please stop.",normal,China,Muslim,Non-binary,Other,Other
"You are being so offensive, please stop.",offensive,China,None,Female,Homosexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Christian,Male,Homosexual,Disability
Homosexual rights are human rights!,offensive,USA,Jewish,Female,Homosexual,Disability
Female deserve equal treatment.,normal,Russia,Hindu,Female,Heterosexual,Minority
I can't believe people from Russia still think like this.,normal,Russia,Hindu,Male,Homosexual,None
"You are being so offensive, please stop.",offensive,India,Jewish,Female,Heterosexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Buddhist,Non-binary,Bisexual,None
Stop treating Disability like second-class citizens.,offensive,Nigeria,Jewish,Female,Heterosexual,Disability
Stop treating Disability like second-class citizens.,normal,UK,Christian,Female,Bisexual,Disability
This is such a hateful thing to say about Buddhist people.,hate speech,Nigeria,Buddhist,Female,Other,Minority
Homosexual rights are human rights!,offensive,Nigeria,Jewish,Female,Homosexual,None
Stop treating Disability like second-class citizens.,hate speech,Brazil,None,Non-binary,Heterosexual,Disability
Why are Non-binary always blamed?,offensive,USA,None,Non-binary,Bisexual,Minority
Heterosexual rights are human rights!,offensive,Brazil,Muslim,Non-binary,Heterosexual,Refugee
Why are Male always blamed?,hate speech,USA,Hindu,Male,Homosexual,Minority
Nigeria culture is so rich and beautiful.,hate speech,Nigeria,None,Male,Homosexual,None
Attacking someone's Buddhist is never okay.,offensive,India,Buddhist,Male,Heterosexual,Disability
Male deserve equal treatment.,hate speech,Nigeria,Buddhist,Male,Other,Other
Female deserve equal treatment.,offensive,Russia,Christian,Female,Other,Other
Non-binary deserve equal treatment.,normal,Russia,None,Non-binary,Heterosexual,Disability
I can't believe people from Russia still think like this.,offensive,Russia,None,Male,Heterosexual,Other
Attacking someone's Muslim is never okay.,hate speech,Nigeria,Muslim,Non-binary,Other,Refugee
Other rights are human rights!,normal,Russia,None,Male,Other,Minority
Heterosexual rights are human rights!,normal,Brazil,Jewish,Non-binary,Heterosexual,Disability
I can't believe people from Germany still think like this.,offensive,Germany,Hindu,Male,Other,Minority
Why are Male always blamed?,hate speech,Nigeria,Jewish,Male,Bisexual,None
Stop treating Disability like second-class citizens.,normal,USA,None,Female,Other,Disability
I can't believe people from UK still think like this.,offensive,UK,None,Non-binary,Homosexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,Brazil,Christian,Male,Bisexual,Other
This is such a hateful thing to say about None people.,offensive,UK,None,Female,Bisexual,Refugee
"You are being so hate speech, please stop.",hate speech,Nigeria,Jewish,Female,Homosexual,Minority
"You are being so hate speech, please stop.",hate speech,India,Christian,Non-binary,Heterosexual,Refugee
"You are being so offensive, please stop.",offensive,Brazil,Hindu,Male,Homosexual,Refugee
Female deserve equal treatment.,offensive,India,Sikh,Female,Homosexual,Minority
Female deserve equal treatment.,offensive,Russia,Christian,Female,Homosexual,Refugee
Heterosexual rights are human rights!,normal,Germany,Muslim,Female,Heterosexual,None
This is such a hateful thing to say about Christian people.,hate speech,China,Christian,Non-binary,Other,Other
Attacking someone's None is never okay.,normal,USA,None,Non-binary,Other,Minority
This is such a hateful thing to say about None people.,hate speech,USA,None,Female,Other,Minority
Russia culture is so rich and beautiful.,hate speech,Russia,Sikh,Non-binary,Bisexual,Other
Other rights are human rights!,normal,Nigeria,Hindu,Male,Other,Disability
"You are being so hate speech, please stop.",hate speech,Germany,Buddhist,Female,Other,Other
"You are being so hate speech, please stop.",hate speech,China,Sikh,Non-binary,Homosexual,None
Stop treating Refugee like second-class citizens.,normal,USA,Sikh,Non-binary,Bisexual,Refugee
I can't believe people from Brazil still think like this.,hate speech,Brazil,None,Female,Other,Disability
Germany culture is so rich and beautiful.,offensive,Germany,Jewish,Non-binary,Homosexual,Minority
"This is just a normal opinion, nothing offensive about it.",offensive,USA,Jewish,Male,Other,Disability
Other rights are human rights!,offensive,UK,Christian,Male,Other,Disability
Why are Male always blamed?,hate speech,USA,Buddhist,Male,Bisexual,Other
Attacking someone's Hindu is never okay.,hate speech,China,Hindu,Female,Heterosexual,None
"You are being so hate speech, please stop.",hate speech,USA,Hindu,Male,Bisexual,Other
Male deserve equal treatment.,hate speech,Brazil,Muslim,Male,Bisexual,Minority
This is such a hateful thing to say about Christian people.,normal,Nigeria,Christian,Male,Heterosexual,Minority
Bisexual rights are human rights!,hate speech,India,Jewish,Male,Bisexual,Refugee
Stop treating None like second-class citizens.,offensive,Nigeria,Jewish,Non-binary,Other,None
USA culture is so rich and beautiful.,offensive,USA,None,Male,Heterosexual,None
Stop treating Disability like second-class citizens.,normal,China,Hindu,Non-binary,Bisexual,Disability
Stop treating None like second-class citizens.,hate speech,Brazil,Jewish,Non-binary,Bisexual,None
I can't believe people from India still think like this.,offensive,India,Jewish,Female,Bisexual,None
Bisexual rights are human rights!,offensive,India,Hindu,Male,Bisexual,Refugee
Male deserve equal treatment.,normal,UK,Jewish,Male,Other,Disability
"You are being so hate speech, please stop.",hate speech,China,Buddhist,Male,Homosexual,Other
This is such a hateful thing to say about Jewish people.,normal,Nigeria,Jewish,Non-binary,Other,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,Christian,Female,Homosexual,Disability
I can't believe people from India still think like this.,normal,India,Buddhist,Female,Bisexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Hindu,Non-binary,Bisexual,Minority
I can't believe people from Brazil still think like this.,offensive,Brazil,Jewish,Female,Heterosexual,Disability
Female deserve equal treatment.,hate speech,China,Jewish,Female,Bisexual,Disability
Other rights are human rights!,normal,UK,Jewish,Male,Other,Disability
Stop treating Other like second-class citizens.,normal,Brazil,Muslim,Male,Homosexual,Other
Attacking someone's Hindu is never okay.,normal,Russia,Hindu,Non-binary,Homosexual,Disability
"You are being so normal, please stop.",normal,China,None,Non-binary,Other,Disability
This is such a hateful thing to say about Christian people.,hate speech,UK,Christian,Female,Heterosexual,Disability
Why are Non-binary always blamed?,normal,UK,Hindu,Non-binary,Homosexual,Disability
Attacking someone's Buddhist is never okay.,hate speech,Nigeria,Buddhist,Non-binary,Bisexual,Refugee
This is such a hateful thing to say about Jewish people.,normal,UK,Jewish,Male,Heterosexual,None
Stop treating Refugee like second-class citizens.,offensive,India,Sikh,Non-binary,Other,Refugee
Bisexual rights are human rights!,offensive,India,Christian,Male,Bisexual,Refugee
I can't believe people from UK still think like this.,normal,UK,None,Female,Homosexual,None
"You are being so normal, please stop.",normal,UK,Jewish,Male,Other,Refugee
Female deserve equal treatment.,normal,UK,Buddhist,Female,Bisexual,Refugee
Russia culture is so rich and beautiful.,hate speech,Russia,Jewish,Male,Heterosexual,Minority
Homosexual rights are human rights!,offensive,China,None,Non-binary,Homosexual,Refugee
"You are being so normal, please stop.",normal,Germany,Christian,Male,Bisexual,Disability
Stop treating Other like second-class citizens.,normal,UK,Sikh,Female,Bisexual,Other
Homosexual rights are human rights!,offensive,Russia,Jewish,Female,Homosexual,Minority
Stop treating None like second-class citizens.,normal,China,Muslim,Female,Other,None
I can't believe people from UK still think like this.,offensive,UK,Sikh,Non-binary,Homosexual,Minority
Bisexual rights are human rights!,normal,India,None,Non-binary,Bisexual,Minority
Stop treating Minority like second-class citizens.,offensive,UK,Muslim,Female,Bisexual,Minority
I can't believe people from USA still think like this.,offensive,USA,Christian,Male,Other,Minority
Why are Non-binary always blamed?,offensive,UK,Muslim,Non-binary,Other,Refugee
"You are being so hate speech, please stop.",hate speech,India,Jewish,Female,Heterosexual,None
Female deserve equal treatment.,hate speech,Germany,None,Female,Homosexual,Minority
Stop treating None like second-class citizens.,normal,Germany,Sikh,Non-binary,Other,None
Bisexual rights are human rights!,normal,Nigeria,Buddhist,Non-binary,Bisexual,Refugee
Stop treating None like second-class citizens.,hate speech,Brazil,Jewish,Non-binary,Bisexual,None
This is such a hateful thing to say about Sikh people.,hate speech,Brazil,Sikh,Female,Homosexual,Disability
India culture is so rich and beautiful.,normal,India,Hindu,Male,Bisexual,Disability
Homosexual rights are human rights!,normal,UK,None,Male,Homosexual,Disability
This is such a hateful thing to say about None people.,normal,Russia,None,Male,Heterosexual,Minority
USA culture is so rich and beautiful.,hate speech,USA,Muslim,Male,Bisexual,Minority
I can't believe people from India still think like this.,hate speech,India,Christian,Female,Homosexual,Disability
Stop treating None like second-class citizens.,offensive,China,Muslim,Female,Homosexual,None
Russia culture is so rich and beautiful.,hate speech,Russia,Jewish,Non-binary,Heterosexual,Refugee
Homosexual rights are human rights!,normal,Nigeria,Sikh,Male,Homosexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Sikh,Male,Other,Refugee
Stop treating Disability like second-class citizens.,normal,Brazil,Muslim,Non-binary,Homosexual,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,Buddhist,Male,Bisexual,Minority
Why are Female always blamed?,hate speech,UK,Hindu,Female,Heterosexual,Other
Stop treating Refugee like second-class citizens.,normal,UK,Muslim,Non-binary,Homosexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,Nigeria,Jewish,Male,Bisexual,Refugee
"You are being so normal, please stop.",normal,UK,Jewish,Male,Homosexual,Refugee
Bisexual rights are human rights!,offensive,India,Hindu,Female,Bisexual,Other
This is such a hateful thing to say about None people.,normal,Nigeria,None,Male,Homosexual,Disability
Non-binary deserve equal treatment.,offensive,Nigeria,Christian,Non-binary,Heterosexual,None
Other rights are human rights!,normal,Nigeria,Muslim,Male,Other,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,Hindu,Male,Homosexual,None
"You are being so hate speech, please stop.",hate speech,Nigeria,Christian,Female,Bisexual,Other
Why are Female always blamed?,hate speech,Nigeria,Christian,Female,Homosexual,Refugee
Attacking someone's Muslim is never okay.,hate speech,Russia,Muslim,Male,Other,Disability
Heterosexual rights are human rights!,normal,Nigeria,Sikh,Non-binary,Heterosexual,None
This is such a hateful thing to say about Muslim people.,normal,UK,Muslim,Non-binary,Other,Refugee
Why are Male always blamed?,normal,UK,Christian,Male,Other,Disability
Stop treating Refugee like second-class citizens.,offensive,China,Buddhist,Non-binary,Other,Refugee
Stop treating None like second-class citizens.,offensive,Germany,Christian,Female,Bisexual,None
"You are being so offensive, please stop.",offensive,China,Jewish,Male,Other,None
Other rights are human rights!,offensive,India,Sikh,Female,Other,Disability
I can't believe people from Brazil still think like this.,offensive,Brazil,Muslim,Non-binary,Homosexual,Disability
I can't believe people from UK still think like this.,hate speech,UK,Christian,Male,Bisexual,None
This is such a hateful thing to say about Jewish people.,hate speech,Brazil,Jewish,Female,Other,Minority
Why are Non-binary always blamed?,normal,USA,None,Non-binary,Bisexual,Other
China culture is so rich and beautiful.,hate speech,China,Muslim,Female,Bisexual,Minority
Bisexual rights are human rights!,normal,UK,None,Non-binary,Bisexual,Other
Attacking someone's Buddhist is never okay.,offensive,Germany,Buddhist,Male,Bisexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,UK,Hindu,Female,Other,Other
UK culture is so rich and beautiful.,offensive,UK,Hindu,Female,Heterosexual,Other
Heterosexual rights are human rights!,normal,USA,Jewish,Non-binary,Heterosexual,None
Stop treating Disability like second-class citizens.,normal,UK,Muslim,Non-binary,Bisexual,Disability
This is such a hateful thing to say about Hindu people.,offensive,China,Hindu,Female,Heterosexual,Minority
"You are being so hate speech, please stop.",hate speech,Germany,Muslim,Female,Other,Disability
This is such a hateful thing to say about Jewish people.,normal,Russia,Jewish,Non-binary,Homosexual,Other
I can't believe people from Germany still think like this.,normal,Germany,Muslim,Male,Heterosexual,Disability
I can't believe people from India still think like this.,normal,India,Hindu,Male,Bisexual,Minority
"You are being so normal, please stop.",normal,Brazil,None,Female,Bisexual,Disability
"You are being so offensive, please stop.",offensive,India,None,Male,Heterosexual,Refugee
Homosexual rights are human rights!,offensive,Brazil,Hindu,Non-binary,Homosexual,Other
Why are Male always blamed?,offensive,UK,Buddhist,Male,Heterosexual,Disability
I can't believe people from USA still think like this.,offensive,USA,Buddhist,Non-binary,Other,Minority
"This is just a normal opinion, nothing normal about it.",normal,UK,Hindu,Non-binary,Other,Other
"This is just a normal opinion, nothing offensive about it.",offensive,USA,Hindu,Male,Other,Disability
Why are Female always blamed?,offensive,USA,Sikh,Female,Homosexual,None
Heterosexual rights are human rights!,hate speech,Russia,Muslim,Non-binary,Heterosexual,Minority
Why are Non-binary always blamed?,hate speech,Germany,Buddhist,Non-binary,Heterosexual,Refugee
Female deserve equal treatment.,hate speech,Nigeria,Hindu,Female,Heterosexual,Refugee
Attacking someone's Christian is never okay.,hate speech,India,Christian,Female,Homosexual,Minority
Attacking someone's Hindu is never okay.,normal,Nigeria,Hindu,Non-binary,Other,Refugee
Female deserve equal treatment.,offensive,USA,Christian,Female,Homosexual,None
Why are Female always blamed?,hate speech,China,Buddhist,Female,Other,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Jewish,Non-binary,Homosexual,Refugee
Russia culture is so rich and beautiful.,normal,Russia,Sikh,Female,Other,Refugee
I can't believe people from USA still think like this.,offensive,USA,Hindu,Non-binary,Bisexual,Refugee
Attacking someone's Christian is never okay.,normal,China,Christian,Non-binary,Heterosexual,Other
Non-binary deserve equal treatment.,normal,Russia,Sikh,Non-binary,Heterosexual,Disability
Female deserve equal treatment.,offensive,Brazil,Jewish,Female,Bisexual,Disability
Male deserve equal treatment.,hate speech,Brazil,Muslim,Male,Other,Refugee
Stop treating Disability like second-class citizens.,offensive,Germany,Sikh,Male,Homosexual,Disability
Bisexual rights are human rights!,hate speech,Germany,Sikh,Female,Bisexual,None
I can't believe people from Germany still think like this.,normal,Germany,None,Non-binary,Heterosexual,Refugee
Why are Non-binary always blamed?,hate speech,Brazil,Sikh,Non-binary,Bisexual,None
Why are Non-binary always blamed?,normal,USA,Muslim,Non-binary,Homosexual,Disability
Male deserve equal treatment.,hate speech,Germany,Buddhist,Male,Heterosexual,Minority
Stop treating Minority like second-class citizens.,hate speech,China,Jewish,Non-binary,Homosexual,Minority
Stop treating Minority like second-class citizens.,normal,Brazil,Christian,Male,Homosexual,Minority
Stop treating Refugee like second-class citizens.,offensive,China,None,Male,Homosexual,Refugee
I can't believe people from UK still think like this.,normal,UK,Hindu,Female,Homosexual,Other
Attacking someone's Buddhist is never okay.,hate speech,Brazil,Buddhist,Non-binary,Other,Other
UK culture is so rich and beautiful.,offensive,UK,Hindu,Male,Heterosexual,Refugee
Why are Non-binary always blamed?,offensive,USA,Buddhist,Non-binary,Other,Other
Attacking someone's None is never okay.,offensive,Brazil,None,Male,Homosexual,Other
Attacking someone's Sikh is never okay.,offensive,India,Sikh,Female,Other,Disability
Homosexual rights are human rights!,normal,Brazil,Muslim,Female,Homosexual,Other
"You are being so offensive, please stop.",offensive,India,Buddhist,Male,Homosexual,None
Female deserve equal treatment.,offensive,Germany,Christian,Female,Heterosexual,None
Attacking someone's Sikh is never okay.,offensive,China,Sikh,Male,Bisexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,USA,Buddhist,Male,Homosexual,Disability
UK culture is so rich and beautiful.,hate speech,UK,Muslim,Female,Heterosexual,Minority
"You are being so hate speech, please stop.",hate speech,China,Jewish,Female,Other,Disability
Brazil culture is so rich and beautiful.,normal,Brazil,Buddhist,Non-binary,Heterosexual,Refugee
Why are Non-binary always blamed?,normal,Brazil,None,Non-binary,Heterosexual,Other
Stop treating None like second-class citizens.,offensive,USA,None,Female,Bisexual,None
Why are Male always blamed?,offensive,Nigeria,Christian,Male,Homosexual,Disability
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Sikh,Male,Homosexual,Minority
"This is just a normal opinion, nothing normal about it.",normal,Germany,Buddhist,Female,Other,Disability
This is such a hateful thing to say about Buddhist people.,normal,China,Buddhist,Non-binary,Bisexual,Other
Other rights are human rights!,normal,India,Jewish,Male,Other,None
"You are being so hate speech, please stop.",hate speech,Germany,Hindu,Female,Other,Other
Attacking someone's None is never okay.,normal,Germany,None,Male,Heterosexual,Minority
UK culture is so rich and beautiful.,hate speech,UK,Hindu,Female,Heterosexual,None
Male deserve equal treatment.,offensive,China,Muslim,Male,Other,Minority
"You are being so hate speech, please stop.",hate speech,Nigeria,Muslim,Female,Other,Other
Stop treating Disability like second-class citizens.,normal,Nigeria,Christian,Female,Homosexual,Disability
China culture is so rich and beautiful.,normal,China,Jewish,Non-binary,Bisexual,Disability
I can't believe people from USA still think like this.,offensive,USA,Christian,Non-binary,Other,None
Why are Non-binary always blamed?,hate speech,UK,Muslim,Non-binary,Heterosexual,Refugee
Stop treating Other like second-class citizens.,normal,China,Christian,Male,Bisexual,Other
Why are Female always blamed?,offensive,Brazil,None,Female,Homosexual,Refugee
Attacking someone's None is never okay.,normal,Russia,None,Non-binary,Homosexual,Disability
Why are Non-binary always blamed?,offensive,India,Buddhist,Non-binary,Heterosexual,Other
This is such a hateful thing to say about Muslim people.,hate speech,Nigeria,Muslim,Non-binary,Heterosexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,China,Hindu,Female,Homosexual,Disability
Nigeria culture is so rich and beautiful.,hate speech,Nigeria,Jewish,Non-binary,Heterosexual,Disability
Why are Non-binary always blamed?,offensive,Germany,Christian,Non-binary,Heterosexual,Other
Stop treating Other like second-class citizens.,hate speech,Germany,Sikh,Non-binary,Homosexual,Other
Stop treating Disability like second-class citizens.,hate speech,Russia,None,Female,Homosexual,Disability
Other rights are human rights!,hate speech,UK,None,Non-binary,Other,None
"This is just a normal opinion, nothing offensive about it.",offensive,UK,Buddhist,Non-binary,Homosexual,Other
Stop treating Other like second-class citizens.,hate speech,Brazil,Christian,Male,Homosexual,Other
I can't believe people from UK still think like this.,offensive,UK,Hindu,Non-binary,Other,Refugee
This is such a hateful thing to say about Christian people.,offensive,Germany,Christian,Non-binary,Homosexual,Minority
Bisexual rights are human rights!,hate speech,Brazil,Sikh,Female,Bisexual,Other
Heterosexual rights are human rights!,offensive,China,Buddhist,Male,Heterosexual,Refugee
Heterosexual rights are human rights!,normal,India,Sikh,Female,Heterosexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Buddhist,Non-binary,Bisexual,Disability
Bisexual rights are human rights!,hate speech,India,Sikh,Non-binary,Bisexual,None
I can't believe people from China still think like this.,offensive,China,Muslim,Female,Homosexual,Minority
Attacking someone's Muslim is never okay.,offensive,UK,Muslim,Female,Heterosexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Jewish,Female,Bisexual,Minority
Stop treating Other like second-class citizens.,offensive,UK,Muslim,Female,Heterosexual,Other
Other rights are human rights!,hate speech,UK,Sikh,Non-binary,Other,None
Stop treating Minority like second-class citizens.,offensive,USA,Hindu,Male,Heterosexual,Minority
Attacking someone's Sikh is never okay.,offensive,Germany,Sikh,Male,Heterosexual,Refugee
This is such a hateful thing to say about Buddhist people.,hate speech,India,Buddhist,Male,Other,Disability
Other rights are human rights!,normal,UK,Christian,Female,Other,Minority
Stop treating None like second-class citizens.,normal,UK,Hindu,Female,Homosexual,None
Heterosexual rights are human rights!,hate speech,China,None,Non-binary,Heterosexual,Minority
Non-binary deserve equal treatment.,offensive,China,Sikh,Non-binary,Other,Minority
Male deserve equal treatment.,hate speech,Nigeria,Sikh,Male,Heterosexual,Disability
Stop treating None like second-class citizens.,normal,UK,Hindu,Female,Other,None
UK culture is so rich and beautiful.,normal,UK,Hindu,Male,Other,Refugee
Stop treating Minority like second-class citizens.,offensive,India,None,Non-binary,Bisexual,Minority
Male deserve equal treatment.,normal,Nigeria,Muslim,Male,Heterosexual,Disability
Homosexual rights are human rights!,offensive,Russia,Buddhist,Male,Homosexual,Disability
I can't believe people from China still think like this.,normal,China,Muslim,Male,Bisexual,Disability
I can't believe people from UK still think like this.,hate speech,UK,Jewish,Male,Heterosexual,Minority
Stop treating Minority like second-class citizens.,hate speech,Nigeria,Sikh,Female,Heterosexual,Minority
China culture is so rich and beautiful.,offensive,China,Buddhist,Female,Bisexual,Minority
Stop treating Disability like second-class citizens.,hate speech,Nigeria,Hindu,Male,Other,Disability
"This is just a normal opinion, nothing normal about it.",normal,Brazil,None,Non-binary,Homosexual,None
Why are Male always blamed?,hate speech,USA,Muslim,Male,Bisexual,Refugee
Attacking someone's Sikh is never okay.,offensive,Nigeria,Sikh,Male,Other,Refugee
"You are being so normal, please stop.",normal,Russia,Sikh,Male,Heterosexual,None
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Buddhist,Female,Heterosexual,Refugee
Homosexual rights are human rights!,normal,India,Hindu,Female,Homosexual,Disability
Germany culture is so rich and beautiful.,hate speech,Germany,Christian,Male,Homosexual,None
This is such a hateful thing to say about Jewish people.,normal,UK,Jewish,Male,Bisexual,Disability
Male deserve equal treatment.,offensive,Brazil,Jewish,Male,Bisexual,Minority
Attacking someone's Sikh is never okay.,hate speech,India,Sikh,Male,Heterosexual,Refugee
I can't believe people from Germany still think like this.,normal,Germany,Sikh,Female,Heterosexual,Refugee
This is such a hateful thing to say about Muslim people.,normal,UK,Muslim,Female,Bisexual,Other
This is such a hateful thing to say about None people.,offensive,Nigeria,None,Non-binary,Homosexual,Other
Why are Male always blamed?,hate speech,Germany,Buddhist,Male,Heterosexual,Disability
Homosexual rights are human rights!,hate speech,Germany,Sikh,Male,Homosexual,Refugee
UK culture is so rich and beautiful.,offensive,UK,Buddhist,Female,Other,Other
Attacking someone's Jewish is never okay.,hate speech,UK,Jewish,Female,Bisexual,Disability
"You are being so normal, please stop.",normal,Nigeria,Muslim,Male,Other,Other
This is such a hateful thing to say about Sikh people.,offensive,Brazil,Sikh,Non-binary,Homosexual,Refugee
Heterosexual rights are human rights!,offensive,Brazil,Christian,Female,Heterosexual,None
Attacking someone's Jewish is never okay.,normal,Germany,Jewish,Male,Bisexual,Other
Heterosexual rights are human rights!,offensive,Brazil,Sikh,Male,Heterosexual,Refugee
Heterosexual rights are human rights!,hate speech,Germany,Sikh,Female,Heterosexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,India,None,Male,Homosexual,Minority
Female deserve equal treatment.,hate speech,India,Sikh,Female,Bisexual,Other
This is such a hateful thing to say about Christian people.,offensive,UK,Christian,Non-binary,Homosexual,Disability
I can't believe people from UK still think like this.,normal,UK,Jewish,Male,Homosexual,Refugee
Stop treating Minority like second-class citizens.,offensive,USA,Christian,Male,Heterosexual,Minority
Why are Non-binary always blamed?,hate speech,Brazil,Sikh,Non-binary,Homosexual,Disability
Why are Male always blamed?,hate speech,Nigeria,None,Male,Homosexual,Refugee
Attacking someone's Sikh is never okay.,normal,India,Sikh,Non-binary,Heterosexual,Refugee
Attacking someone's None is never okay.,hate speech,India,None,Non-binary,Heterosexual,Refugee
"This is just a normal opinion, nothing normal about it.",normal,Brazil,Christian,Non-binary,Heterosexual,Refugee
Non-binary deserve equal treatment.,normal,Russia,Buddhist,Non-binary,Bisexual,Minority
Attacking someone's Hindu is never okay.,hate speech,USA,Hindu,Female,Other,Refugee
This is such a hateful thing to say about Hindu people.,hate speech,China,Hindu,Male,Homosexual,Disability
Homosexual rights are human rights!,normal,Nigeria,Buddhist,Male,Homosexual,Other
Attacking someone's Sikh is never okay.,hate speech,India,Sikh,Male,Other,Refugee
Why are Female always blamed?,hate speech,China,Hindu,Female,Bisexual,Other
This is such a hateful thing to say about Christian people.,offensive,UK,Christian,Male,Other,Disability
"This is just a normal opinion, nothing normal about it.",normal,Germany,None,Non-binary,Heterosexual,Minority
Heterosexual rights are human rights!,normal,USA,Christian,Non-binary,Heterosexual,None
"You are being so normal, please stop.",normal,Brazil,Sikh,Non-binary,Bisexual,None
I can't believe people from Russia still think like this.,hate speech,Russia,None,Male,Heterosexual,Minority
Female deserve equal treatment.,hate speech,China,Buddhist,Female,Heterosexual,None
"This is just a normal opinion, nothing normal about it.",normal,Russia,None,Male,Bisexual,Refugee
This is such a hateful thing to say about Hindu people.,hate speech,Germany,Hindu,Male,Bisexual,Minority
Female deserve equal treatment.,hate speech,USA,None,Female,Bisexual,Disability
UK culture is so rich and beautiful.,offensive,UK,Hindu,Female,Other,Other
Attacking someone's Hindu is never okay.,normal,UK,Hindu,Male,Heterosexual,Refugee
Attacking someone's Jewish is never okay.,hate speech,Brazil,Jewish,Non-binary,Other,Other
Male deserve equal treatment.,hate speech,India,Muslim,Male,Homosexual,Other
Stop treating None like second-class citizens.,hate speech,Nigeria,Sikh,Female,Other,None
"You are being so offensive, please stop.",offensive,China,Jewish,Female,Bisexual,Disability
Why are Female always blamed?,hate speech,Germany,None,Female,Homosexual,Disability
Nigeria culture is so rich and beautiful.,normal,Nigeria,Christian,Male,Heterosexual,Minority
Why are Male always blamed?,normal,India,Sikh,Male,Homosexual,Other
Stop treating Refugee like second-class citizens.,hate speech,Nigeria,Buddhist,Female,Other,Refugee
Why are Non-binary always blamed?,normal,Russia,Jewish,Non-binary,Heterosexual,Disability
Stop treating Other like second-class citizens.,offensive,Russia,Jewish,Non-binary,Bisexual,Other
Attacking someone's Buddhist is never okay.,offensive,USA,Buddhist,Non-binary,Other,Minority
This is such a hateful thing to say about Buddhist people.,offensive,UK,Buddhist,Male,Homosexual,Disability
